Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
561,Where will the grand statues of Chola emperors Rajaraja Chola and Rajendra Chola be erected as announced by PM Modi?,Karnataka,Andhra Pradesh,Telangana,Kerala,Tamil Nadu,Tamil Nadu
562,"Which state recently increased the monthly pension for journalists to Rs.15,000 under the Journalist Samman Pension Scheme?",Bihar,Rajasthan,Uttar Pradesh,Madhya Pradesh,Odisha,Bihar
563,"‘MATSYA-6000’, India’s first manned submersible, is being developed under which project?",Sagar Vikas Mission,Deep Ocean Mission,Blue Revolution Project,Ocean Quest Program,Coastal Exploration InitiatIve,Deep Ocean Mission
564,Which Hindi author’s book Once Elephants Lived Here won the PEN Translates award?,Krishna Sobti,Uday Prakash,Geetanjali Shree,Nirmal Verma,Mridula Garg,Geetanjali Shree
565,SHAURYA BHARAT Car Rally was organized in collaboration with which organization to honour the Armed Forces and promote environmental awareness?,PHDCCI & Indian Air Force,Indian Army,DRDO,NCC,Ministry of Defence,PHDCCI & Indian Air Force
566,Which animal has Bannerghatta Biological Park exported for the first time in its history?,Tigers,Cheetahs,Asian Elephants,Jaguars,Gorillas,Asian Elephants
567,ISRO will launch three more NavIC satellites by 2026 to strengthen which navigation system?,GAGAN,IRNSS,GPS India,AstroNav,Bharat SatNav,IRNSS
568,Which Indian state was the first to launch MBBS education in Hindi?,Uttar Pradesh,Madhya Pradesh,Rajasthan,Bihar,Gujarat,Madhya Pradesh
569,Which country will host the 17th Men’s Asia Cup Cricket Tournament in 2025?,India,Pakistan,Sri Lanka,United Arab Emirates,Bangladesh,United Arab Emirates
570,Where was the second edition of the WADA Intelligence & Investigations (I&I) Workshop hosted?,Mumbai,Singapore,Kuala Lumpur,New Delhi,Dhaka,New Delhi
571,Kerala Tourism won the PATA Gold Award 2025 in which category?,Best Ecotourism Project,Sustainable Tourism Strategy,Cultural Heritage Promotion,Most Engaging Social Media Campaign,Digital Transformation in Tourism,Most Engaging Social Media Campaign
572,Who did Joe Root surpass to become the second-highest run scorer in Test cricket?,Brian Lara,Rahul Dravid,Steve Smith,Jacques Kallis,Ricky Ponting,Ricky Ponting
573,"Where was India’s first hydrogen-powered coach, called the Driving Power Car (DPC), successfully tested?",Bhopal Coach Factory,Chittaranjan Locomotive Works,"Modern Coach Factory, Rae Bareli","Rail Coach Factory, Kapurthala","Integral Coach Factory, Chennai","Integral Coach Factory, Chennai"
